Modern Toponym,Ancient Toponym,Country,Longitude (X),Latitude (Y)
Palma,Palma,Spain,2.649713,39.56882
Edessa,Edessa,Greece,22.050693,40.802398
Cres,Crexa,Croatia,14.397461,44.856809
Pella,Pella (Macedonia),Greece,22.525641,40.760042
Syracuse,Syracusae,Italy,15.28444,37.066484
Adria,Adria,Italy,12.056242,45.054003
Thera,Thera,Greece,25.474522,36.352514
Damascus,Damascus,Syria,36.306587,33.511647
Arta,Ambracia,Greece,20.987,39.158
Elea,Velia,Italy,15.154241,40.159537
Gaza,Gaza,Israel,34.468099,31.511559
Sens,Agedincum,France,3.287659,48.24754
Tyre,Tyrus,Lebanon,35.194564,33.271637
Mila,Milev,Algeria,6.267698,36.451276
Corinth,Corinthia,Greece,22.879795,37.906321
Bath,Aquae Sulis,United Kingdom,-2.357454,51.381428
Athens,Athenae,Greece,23.726559,37.971119
Vienne,Vienna,France,4.878056,45.524167
Rome,Roma,Italy,12.485098,41.892777
Lyon,Lugdunum,France,4.820576,45.759119
Arles,Arelate,France,4.627804,43.676651
Jerusalem,Aelia Capitolina,Israel,35.235357,31.777766
Alexandria,Alexandria (Aegyptus),Egypt,29.903728,31.195024
Susa,Segusio,Italy,7.048414,45.138485
Milan,Mediolanum (Italia (XI Transpadana)),Italy,9.188141,45.463689
Debelt,Deultum,Bulgaria,27.28956,42.390761
Chur,Curia,Switzerland,9.530735,46.849437
Ostia,Ostia,Italy,12.288323,41.753798
Petra,Petra,Jordan,35.442275,30.328981
Dion,Dium,Greece,22.48613,40.172852
Vis,Issa,Croatia,16.184086,43.061568
Enna,Enna,Italy,14.279706,37.567595
Tarsus,Tarsus,Turkey,34.892717,36.917425
Tripoli,Oea,Libya,13.187507,32.876174
Constantine,Cirta,Algeria,6.612554,36.367897
