source,target,weight
marcus,pius,6
marcus,god,6
marcus,antoninus,16
marcus,mark,6
marcus,john,6
marcus,maximus,6
christ,cornelius,6
christ,peter,13
christ,victor,5
christ,justin,8
christ,jesus,81
christ,james,24
christ,luke,5
christ,simon,5
christ,ammonius,6
christ,thaddeus,5
christ,moses,10
christ,matthew,11
christ,god,212
christ,dionysius,7
christ,mary,5
christ,abraham,10
christ,herod,18
christ,joseph,6
christ,josephus,12
christ,paul,12
christ,david,10
christ,mark,7
christ,tiberius,10
christ,john,33
christ,domitian,7
christ,vespasian,8
christ,clement,11
christ,philip,6
christ,pontius,7
christ,alexander,14
christ,origen,6
cornelius,christ,6
cornelius,fabius,8
cornelius,novatus,7
aristobulus,hyrcanus,5
isaiah,ezekiel,7
isaiah,god,9
eleutherus,anicetus,7
peter,christ,13
peter,james,18
peter,luke,5
peter,simon,8
peter,god,8
peter,paul,63
peter,mark,16
peter,john,37
peter,clement,7
clopas,james,8
clopas,symeon,7
maximinus,god,12
maximinus,john,5
maximinus,alexander,9
maximinus,augustus,11
victor,christ,5
victor,god,5
felix,josephus,6
matthias,justus,7
justin,christ,8
justin,simon,6
justin,lucius,5
justin,pius,8
justin,god,17
justin,marcion,10
justin,tatian,8
justin,antoninus,10
justin,crescens,7
jesus,christ,81
jesus,james,20
jesus,simon,6
jesus,thaddeus,11
jesus,moses,9
jesus,god,62
jesus,abgarus,12
jesus,mark,6
jesus,tobias,5
jesus,john,37
jesus,alexander,6
james,christ,24
james,peter,18
james,clopas,8
james,jesus,20
james,barnabas,6
james,matthew,8
james,god,8
james,thomas,5
james,herod,14
james,festus,7
james,joseph,8
james,paul,28
james,claudius,8
james,john,65
james,symeon,14
james,clement,15
james,zebedee,6
licinius,god,20
licinius,constantine,20
licinius,augustus,11
jeremiah,daniel,8
justus,matthias,7
justus,john,5
ezekiel,isaiah,7
ezekiel,daniel,6
hermammon,dionysius,6
archelaus,herod,8
luke,christ,5
luke,peter,5
luke,joseph,7
luke,paul,45
luke,mark,5
luke,john,18
hyginus,anicetus,5
simon,christ,5
simon,peter,8
simon,justin,6
simon,jesus,6
simon,god,18
simon,helena,6
malchion,paul,6
ammonius,christ,6
anencletus,paul,9
anencletus,clement,6
anencletus,linus,7
thaddeus,christ,5
thaddeus,jesus,11
thaddeus,god,9
thaddeus,abgarus,31
thaddeus,tobias,11
montanus,god,7
montanus,maximilla,5
stephen,dionysius,15
moses,christ,10
moses,jesus,9
moses,god,23
moses,herod,5
melchi,eli,13
melchi,jacob,10
melchi,joseph,17
melchi,matthan,9
