id,label
1,marcus
2,domitian
3,augustus
4,ezekiel
5,maximus
6,abraham
7,antipater
8,tobias
9,priscilla
10,simon
11,ammonius
12,constantine
13,festus
14,adrian
15,herod
16,maximilla
17,matthias
18,abgarus
19,crescens
20,trajan
21,philemon
22,alexander
23,origen
24,heraclas
25,christ
26,hyginus
27,malchion
28,philip
29,eleutherus
30,licinius
31,novatus
32,linus
33,pontius
34,joseph
35,symeon
36,helena
37,john
38,lucius
39,ananus
40,plutarch
41,blandina
42,tiberius
43,barnabas
44,sabellius
45,maximinus
46,victor
47,philo
48,gallus
49,cornelius
50,ambrose
51,david
52,justus
53,caius
54,ammon
55,demetrius
56,peter
57,archelaus
58,ignatius
59,nepos
60,alcibiades
61,aristobulus
62,jeremiah
63,montanus
64,albinus
65,dionysius
66,matthan
67,isaiah
68,zebedee
69,gaul
70,timothy
71,miltiades
72,eli
73,paul
74,isaac
75,jesus
76,solomon
77,marcion
78,clement
79,tatian
80,clopas
81,james
82,pius
83,moses
84,claudius
85,agrippa
86,anicetus
87,mark
88,antoninus
89,fabius
90,cephas
91,thomas
92,stephen
93,luke
94,god
95,daniel
96,jacob
97,mary
98,valerian
99,nathan
100,theophilus
101,melchi
102,vespasian
103,felix
104,maxentius
105,thaddeus
106,hermammon
107,papias
108,gallienus
109,anencletus
110,justin
111,lysanias
112,hyrcanus
113,josephus
114,matthew
115,nero
116,esther
